"channel_title","views","category","Channel.Video"
"emilynoel83",41534,"Howto & Style","Video"
"JenniferLopezVEVO",12974558,"Music","Video"
"PowerfulJRE",250837,"People & Blogs","Video"
"Skip and Shannon: UNDISPUTED",241896,"Sports","Video"
"Complex",988066,"Entertainment","Video"
"Borgore",84605,"Music","Video"
"NBAHighlights2",617754,"Sports","Video"
"jeffreestar",2010012,"Howto & Style","Video"
"The Liberty Hound",114216,"News & Politics","Video"
"The National",13742,"News & Politics","Video"
"Doug DeMuro",821725,"Autos & Vehicles","Video"
"Cow Chop",192550,"Gaming","Video"
"H3 Podcast",790665,"Entertainment","Video"
"Draw with Jazza",220893,"Howto & Style","Video"
"江森哲",52926,"News & Politics","Video"
"Tasty",110981,"Howto & Style","Video"
"蒙面唱将猜猜猜2重磅归来",351660,"People & Blogs","Video"
"Michael McCrudden",233803,"Entertainment","Video"
"secureteam10",306485,"Science & Technology","Video"
"ARY Digital",163926,"Entertainment","Video"
"T-Series",11810521,"Music","Video"
"الآعلام الموازي",541428,"News & Politics","Video"
"jacksfilms",814126,"Comedy","Video"
"Thelma J. Rubin",102835,"People & Blogs","Video"
"Dolan Twins",891912,"Comedy","Video"
"BostonDynamics",5531707,"Science & Technology","Video"
"TechSmartt",2900560,"Science & Technology","Video"
"The Tonight Show Starring Jimmy Fallon",2223948,"Comedy","Video"
"Jimmy Kimmel Live",3842156,"Comedy","Video"
"Brent Pella",1147169,"Comedy","Video"
"JunsKitchen",1961066,"Howto & Style","Video"
"iDubbbzTV",2893243,"Comedy","Video"
"Angelina Merker",17862,"People & Blogs","Video"
"Pistol",415096,"Gaming","Video"
"The Late Late Show with James Corden",3621389,"Entertainment","Video"
"StarCraft",645569,"Gaming","Video"
"Hey Yolo",807094,"Music","Video"
"The Slow Mo Guys",2918106,"Entertainment","Video"
"Cards Against Humanity",1012513,"Comedy","Video"
"2oK",52323,"Music","Video"
"Late Night with Seth Meyers",1451881,"Comedy","Video"
"Philip DeFranco",1470628,"Entertainment","Video"
"Tanner Braungardt",1803724,"People & Blogs","Video"
"The Late Show with Stephen Colbert",788000,"Entertainment","Video"
"A&E",260982,"Entertainment","Video"
"Binging with Babish",1088036,"Entertainment","Video"
"Le Rire Jaune",1177957,"Comedy","Video"
"Cut",748481,"Entertainment","Video"
"TheEllenShow",1559003,"Entertainment","Video"
"NELK",612112,"Comedy","Video"
"Media Watch",381026,"News & Politics","Video"
"Battle Universe!",313325,"Entertainment","Video"
"You Suck At Cooking",387902,"Howto & Style","Video"
"Dose of Dissonance",193382,"News & Politics","Video"
"jacksfilms",808317,"Comedy","Video"
"Good Mythical Morning",964813,"Entertainment","Video"
"Le Jeu, C'est Sérieux",552895,"Comedy","Video"
"jean registre",5386,"People & Blogs","Video"
"WWE",3715529,"Sports","Video"
"Meet Arnold",714815,"People & Blogs","Video"
"Comedy Central UK",155875,"Comedy","Video"
"Speed Records",821704,"Music","Video"
"LastWeekTonight",611039,"Entertainment","Video"
"Channel Awesome",240897,"Entertainment","Video"
"Anwar Jibawi",1610930,"Comedy","Video"
"TODAY",640625,"News & Politics","Video"
"CYRIL /SUPERKONAR",558307,"Comedy","Video"
"TV Shows",332798,"People & Blogs","Video"
"Rudy Mancuso",4576001,"Comedy","Video"
"Toronto Star",11914,"Entertainment","Video"
"JRE Clips",957709,"Comedy","Video"
"Federica Balsamo",177233,"People & Blogs","Video"
"Amar Audio",2401239,"Music","Video"
"CaseyNeistat",2325233,"People & Blogs","Video"
"ExplosmEntertainment",941274,"Comedy","Video"
"John Kuckian",126547,"News & Politics","Video"
"Full Interview",161482,"People & Blogs","Video"
"5-Minute Crafts",5168203,"Howto & Style","Video"
"RadaanMedia",291634,"Entertainment","Video"
"Breakfast Club Power 105.1 FM",539148,"Entertainment","Video"
"Baited!",124458,"Entertainment","Video"
"麻辣变形计 HOT GIRL",145723,"People & Blogs","Video"
"VikatanTV",564551,"Entertainment","Video"
"NewsOne Pk",158478,"News & Politics","Video"
"Draw with Jazza",345227,"Howto & Style","Video"
"The Dr. Phil Show",40508,"Entertainment","Video"
"Jass Records",1146278,"Music","Video"
"LilyPichu",144217,"Comedy","Video"
"The Voice",254436,"Entertainment","Video"
"The View",72049,"Entertainment","Video"
"Vox",534571,"News & Politics","Video"
"Lowe's Home Improvement",332343,"Howto & Style","Video"
"Taupe10",227565,"Entertainment","Video"
"GameGrumps",149076,"Gaming","Video"
"orelsan",1267473,"Music","Video"
"Simply Nailogical",864235,"Entertainment","Video"
"Kill'em",411960,"Entertainment","Video"
"Amixem",1489178,"Comedy","Video"
"Lolywood",939129,"Comedy","Video"
"TV Promos",153736,"Entertainment","Video"
"TV Classics",19024,"People & Blogs","Video"
"Chris Stuckmann",627820,"Entertainment","Video"
"nigahiga",2584165,"Entertainment","Video"
"Unbox Therapy",1279800,"Science & Technology","Video"
"Matthias",623803,"Science & Technology","Video"
"BuzzFeedBlue",367032,"People & Blogs","Video"
"MercerReport",35112,"Comedy","Video"
"CelebNews17",139558,"Entertainment","Video"
"nikiluvschocolate",68011,"Music","Video"
"SET India",65122,"Entertainment","Video"
"Facts.",103858,"Entertainment","Video"
"Fidel Gastro",12940,"Howto & Style","Video"
"The Young Turks",171236,"News & Politics","Video"
"aaj maxi",52205,"People & Blogs","Video"
"CBC NL - Newfoundland and Labrador",21839,"News & Politics","Video"
"WOWPresents",338908,"Entertainment","Video"
"EminemVEVO",22702386,"Music","Video"
"FlyReefVEVO",18764,"Music","Video"
"Escapist",262736,"Gaming","Video"
"Marques Brownlee",1825705,"Science & Technology","Video"
"What's Inside?",418661,"Education","Video"
"Kitchen Nightmares",202125,"Entertainment","Video"
"Rebel Media",7742,"News & Politics","Video"
"rosalie vaillancourt",7966,"Comedy","Video"
"HUM TV",700691,"Entertainment","Video"
"CrazyRussianHacker",333097,"Science & Technology","Video"
"Lavina",45546,"Entertainment","Video"
"Castanet News",3663,"News & Politics","Video"
"Valk Aviation",1037561,"Travel & Events","Video"
"ESPN",535562,"Sports","Video"
"NHL",67136,"Sports","Video"
"Fox News",79058,"News & Politics","Video"
"REACT",936130,"Entertainment","Video"
"The Graham Norton Show",574778,"Entertainment","Video"
"Team Edge",284546,"Comedy","Video"
"Trash",212206,"Science & Technology","Video"
"THIRU TV",154151,"Entertainment","Video"
"Good Mythical MORE",231961,"Entertainment","Video"
"VisionTimeTamil",121133,"Entertainment","Video"
"Kumpletong Sangkap",144146,"News & Politics","Video"
"Akashi Tv",1300267,"Entertainment","Video"
"Strictly Dumpling",248362,"Travel & Events","Video"
"MSNBC",122087,"News & Politics","Video"
"NBA Kit",228385,"Sports","Video"
"Google Help",190197,"Howto & Style","Video"
"Hong mei li",73231,"Entertainment","Video"
"Brawadis",194796,"People & Blogs","Video"
"Lieutenants Loft",1119857,"People & Blogs","Video"
"GOLAZO TV",2333278,"Sports","Video"
"GEazyMusicVEVO",1423971,"Music","Video"
"MLG Highlights",551409,"Sports","Video"
"SPORTSNET",59846,"Sports","Video"
"The Infographics Show",587752,"Education","Video"
"Eat Bulaga!",46381,"Entertainment","Video"
"MoreZoella",1099126,"People & Blogs","Video"
"HellthyJunkFood",110153,"Entertainment","Video"
"The Leaping Frog",63079,"News & Politics","Video"
"영국남자 Korean Englishman",655758,"Comedy","Video"
"PowerfulJRE",443751,"People & Blogs","Video"
"DownToBuck",7494,"Sports","Video"
"The king of DIY",195715,"Pets & Animals","Video"
"Reflect",316645,"News & Politics","Video"
"TED-Ed",285091,"Education","Video"
"VanossGaming",3594708,"Comedy","Video"
"Jaboody Dubs",207430,"Comedy","Video"
"TV Derana",296324,"Entertainment","Video"
"FBE",1283032,"Entertainment","Video"
"Tati",435391,"Howto & Style","Video"
"Tasty",175637,"Howto & Style","Video"
"Wrestling Reality II",1502902,"Sports","Video"
"Football Highlights & Goals",1327882,"Sports","Video"
"CollegeHumor",294701,"Comedy","Video"
"ARY Digital",314071,"Entertainment","Video"
"Слуга народа",467088,"Shows","Video"
"Logan Paul Vlogs",5085080,"Entertainment","Video"
"Rainie Tian",40407,"Howto & Style","Video"
"SciShow",177648,"Education","Video"
"iJustine",860406,"Science & Technology","Video"
"Troom Troom",4031523,"Howto & Style","Video"
"Attessia TV",70493,"Entertainment","Video"
"Legends Universe",180487,"Entertainment","Video"
"Mark Wiens",163524,"Travel & Events","Video"
"Zabar10 Shows",24236,"News & Politics","Video"
"Linus Tech Tips",387955,"Science & Technology","Video"
"爱情保卫战官方频道 【全网第一时间更新 1080P】欢迎订阅",18621,"Entertainment","Video"
"Paramount Network",955180,"Entertainment","Video"
"Wendy Williams",289277,"Entertainment","Video"
"Brat",2008095,"Entertainment","Video"
"Munchies",196775,"Entertainment","Video"
"Act Now 2017",79686,"News & Politics","Video"
"WIRED",229515,"Sports","Video"
"文昭談古論今 -Wen Zhao Official",111484,"News & Politics","Video"
"TBS",164870,"Entertainment","Video"
"Motor Trend Channel",298675,"Autos & Vehicles","Video"
"Planet Dolan",86493,"Education","Video"
"udearroba",1141,"Education","Video"
